"ReasonForAttending","Socialize","Tailgate","TakeSelfies","PostToSocialMedia","SeeFriends","VisitKidAttractions","MeetMascot","SnacksForKids","KidsRunBases","KidsSlide","GetDinner","EatParkFood","SampleFood","GetDrinks","DrinkBeer","BuyGear","TourThePark","VisitAttractions","WatchPregameShow","SeeTheChicken","UpgradeSeats","GetAutographs","WatchGame","SeePractice","MeetPlayers"
"See a concert",3,2,1,1,3,4,2,1,3,4,7,4,0,0,4,1,1,6,2,2,1,1,1,10,1
"Special Game",4,4,1,1,2,7,8,6,6,0,0,4,5,4,0,0,0,6,0,0,6,1,1,1,1
"Other Promotion",1,9,0,4,3,2,1,1,2,0,2,0,2,1,4,2,8,4,2,1,0,0,0,1,1
"Company outing",4,8,2,2,1,4,3,1,0,2,2,1,4,1,2,7,0,0,0,7,0,5,1,8,1
"Support the Team",0,2,1,5,4,3,0,2,3,2,0,5,4,4,8,2,6,9,2,9,1,2,1,0,1
"Celebrate an anniversary",2,0,10,4,5,9,1,4,2,2,0,4,0,2,0,2,1,0,1,9,2,0,2,0,0
"Special Game",1,3,3,3,2,2,2,2,6,3,0,3,2,5,0,2,9,2,5,1,1,2,1,1,1
"I was given tickets",4,1,2,2,3,3,1,0,9,1,2,1,4,2,2,2,8,1,4,2,1,0,1,2,0
"No distinct reason",2,3,3,1,1,2,0,5,6,1,2,4,7,1,0,2,2,5,2,1,7,1,0,0,0
"Family outing, with children",0,5,4,1,2,4,1,2,2,1,3,2,5,8,4,2,2,6,1,2,1,4,1,0,2
"Family outing, no children",1,2,1,3,8,9,2,2,3,0,4,4,1,4,2,2,0,2,0,0,1,1,2,1,1
"See my friends",2,1,4,2,2,0,10,10,2,2,0,0,1,4,4,0,0,7,1,1,1,2,2,1,0
"See a concert",4,3,1,4,3,2,6,6,2,9,1,1,2,2,4,2,1,6,9,0,0,1,0,1,0
"Visit the park",0,1,3,4,8,8,8,0,2,1,2,3,0,0,0,4,6,1,0,2,1,1,0,2,1
"See my friends",3,0,1,1,8,2,3,2,1,5,2,6,0,2,4,0,0,0,1,4,1,0,1,0,1
"Support the opposing team",3,2,3,4,4,9,0,0,2,4,2,0,0,4,2,2,2,2,0,9,0,2,1,1,1
"Company outing",2,1,1,1,4,6,3,1,2,2,3,4,4,0,1,5,0,8,6,2,1,1,1,0,1
"I was given tickets",9,1,6,0,4,2,2,2,3,3,4,5,4,0,2,1,5,5,6,1,1,1,1,1,1
"I was given tickets",6,1,1,4,2,5,2,3,2,1,3,7,3,4,2,2,2,8,9,2,2,0,0,1,3
"See my friends",4,1,0,3,1,1,0,2,2,2,0,1,9,9,2,3,5,0,2,2,2,1,0,2,1
"I was given tickets",3,4,2,0,4,1,0,1,8,2,1,2,4,2,0,3,7,2,0,2,1,3,1,0,2
"Visit the park",4,2,5,2,4,0,4,2,5,2,4,4,5,4,4,2,1,2,0,1,2,1,2,1,0
"I was given tickets",4,4,4,1,3,1,3,6,2,3,5,9,5,4,3,5,5,4,1,2,4,2,1,1,1
"Visit the park",6,0,4,0,2,1,1,5,3,1,4,3,4,4,5,8,6,2,1,2,1,1,2,1,1
"I was given tickets",0,2,10,2,2,6,6,3,1,9,2,4,3,2,2,1,5,0,2,1,1,1,2,9,0
"I was given tickets",0,3,0,1,1,8,6,3,2,2,2,3,4,6,6,2,0,2,1,9,1,1,0,0,2
"Other Promotion",2,3,4,0,4,2,8,1,1,10,3,1,6,0,9,6,0,3,2,6,1,2,1,1,1
"See a concert",4,4,0,4,6,10,2,1,1,1,4,2,2,1,3,9,1,5,0,2,1,1,2,1,1
"Visit the park",1,4,4,1,2,1,1,3,10,0,4,2,0,3,4,0,2,2,1,2,1,0,0,0,1
"Company outing",4,9,2,9,2,1,1,0,1,1,5,5,0,0,4,9,2,9,5,3,1,2,2,2,1
"Celebrate a birthday",6,4,0,0,2,2,2,1,0,2,2,5,4,3,5,10,2,2,7,2,1,2,2,0,1
"Support the Team",2,4,2,2,1,9,7,2,8,7,4,1,2,1,2,1,2,1,1,7,2,0,0,0,2
"I was given tickets",8,2,2,4,3,0,6,3,3,9,0,2,2,2,6,9,3,6,2,4,2,1,1,1,1
"I was given tickets",2,2,3,0,2,2,0,1,7,4,4,4,5,2,1,4,9,2,9,3,0,1,0,1,0
"Family outing, with children",4,2,2,4,5,2,3,1,8,3,4,4,9,3,2,1,1,7,9,2,2,1,6,2,1
"Celebrate a birthday",4,3,1,4,9,7,5,2,3,0,3,9,4,0,0,9,7,2,9,2,2,2,1,2,1
"See my friends",1,4,3,3,1,1,1,4,1,7,2,3,4,0,0,0,2,2,1,2,2,1,1,0,2
"Family outing, no children",0,1,0,0,2,1,4,2,3,1,0,0,2,4,7,3,8,9,1,0,6,1,1,2,9
"See my friends",3,0,10,3,2,3,8,1,6,6,3,9,3,2,4,8,4,2,2,5,2,1,1,0,0
"Celebrate a birthday",2,3,3,1,3,6,0,3,7,2,4,9,5,1,0,6,5,2,2,5,2,3,1,2,0
"Support the opposing team",3,0,2,7,3,9,3,1,9,0,2,5,2,2,1,0,8,2,9,0,1,2,1,0,0
"Celebrate an anniversary",2,3,2,3,2,0,2,6,3,2,4,0,8,0,8,5,1,1,9,7,2,0,2,1,1
"No distinct reason",2,2,1,0,2,3,2,6,8,1,3,0,3,1,2,10,2,5,1,2,0,1,2,2,1
"Other Promotion",3,3,0,5,7,3,6,2,2,2,2,3,5,4,4,9,7,8,3,1,2,1,1,2,1
"Family outing, no children",3,3,0,0,3,0,3,3,2,2,0,6,0,4,4,0,2,0,10,2,0,2,1,1,1
"No distinct reason",0,8,1,4,1,2,2,6,2,2,0,7,4,4,4,8,5,1,7,1,1,0,1,1,2
"I was given tickets",1,1,3,1,1,6,1,3,2,0,2,4,2,2,4,4,3,6,6,3,0,1,0,1,2
"Celebrate a birthday",2,3,6,2,8,6,9,6,4,3,2,0,0,1,2,1,1,6,0,1,1,0,1,0,1
"Family outing, with children",2,0,1,1,0,9,2,2,1,1,1,4,2,3,4,10,0,6,2,3,1,1,2,1,1
"See my friends",1,2,2,1,2,3,2,1,2,6,3,1,4,4,4,2,0,1,8,2,1,2,2,2,0
"See a concert",4,4,3,2,4,3,2,4,0,2,2,0,3,3,5,0,4,0,8,1,1,2,2,0,2
"Special Game",2,0,1,6,2,9,3,1,9,9,4,3,4,5,4,1,6,4,5,2,2,4,2,1,1
"See my friends",3,4,2,1,2,0,0,9,1,9,0,0,0,0,4,2,1,1,2,0,1,1,1,8,1
"Company outing",4,6,0,3,2,2,1,3,1,9,9,1,0,4,4,2,2,2,1,1,0,1,1,2,2
"Family outing, no children",10,0,7,3,4,2,2,4,2,1,4,1,4,4,6,2,1,2,2,1,1,2,2,0,1
"Support the opposing team",4,1,4,0,2,1,2,3,2,6,2,5,1,4,4,0,6,0,2,2,8,2,2,1,1
"Family outing, with children",6,3,2,4,1,8,0,2,5,7,2,2,4,5,0,2,1,4,2,1,1,0,2,0,2
"Support the Team",2,2,6,4,4,2,2,1,1,3,2,1,4,3,5,9,8,0,2,1,0,1,0,2,1
"No distinct reason",9,2,5,1,2,9,2,2,8,5,0,4,3,0,9,2,1,3,0,2,1,1,2,2,0
"Special Game",1,4,6,2,2,3,0,2,4,2,4,3,2,6,2,5,1,2,0,0,1,1,1,0,1
"Celebrate an anniversary",2,2,4,2,3,1,5,1,7,0,2,5,6,4,1,8,2,2,2,2,2,1,1,0,2
"No distinct reason",7,0,2,1,3,9,5,3,0,9,2,4,2,2,9,0,6,2,2,7,0,1,1,0,1
"Support the opposing team",4,2,9,2,2,6,1,1,7,1,4,7,1,4,2,7,1,2,2,6,1,1,1,0,1
"See my friends",7,2,1,9,2,7,3,6,2,5,4,3,3,2,4,4,1,2,6,3,10,1,1,1,2
"I was given tickets",3,3,4,2,3,9,7,2,2,4,3,2,0,1,2,2,1,7,1,2,1,1,0,1,0
"Visit the park",1,2,5,1,1,7,0,2,1,10,9,3,7,1,4,8,1,2,1,10,1,2,1,1,1
"Family outing, no children",2,8,1,0,4,0,1,2,0,0,2,9,2,0,0,0,1,2,8,2,1,2,1,2,2
"No distinct reason",1,2,0,4,4,2,1,3,3,9,3,3,1,1,0,10,0,1,2,1,0,0,0,1,1
"I was given tickets",7,2,1,2,3,5,2,8,9,1,3,4,3,1,2,2,2,1,2,9,2,2,2,0,2
"Visit the park",2,4,4,3,9,2,7,1,10,2,5,2,1,2,2,8,6,5,3,6,5,2,5,7,8
"Celebrate an anniversary",4,0,1,1,3,2,0,3,2,0,0,4,4,1,2,3,4,9,5,7,8,7,10,8,8
"Celebrate an anniversary",0,0,2,2,3,2,2,6,1,2,0,4,2,8,5,6,0,2,5,7,10,4,1,0,9
"I was given tickets",1,1,2,1,6,9,1,1,4,3,4,4,2,2,0,2,8,8,9,6,4,6,6,10,6
"Support the Team",3,2,4,4,4,1,2,2,2,3,4,4,4,2,2,1,7,2,1,1,2,8,7,5,2
"Visit the park",2,1,1,3,4,3,8,2,7,3,2,2,4,8,4,3,0,4,1,5,10,4,1,5,5
"Celebrate a birthday",3,1,4,1,1,7,2,0,3,7,5,4,4,0,3,2,10,5,10,7,7,8,8,5,6
"Celebrate a birthday",1,2,1,0,3,8,1,2,2,4,2,2,2,0,5,2,1,1,10,10,0,2,1,9,7
"Family outing, with children",4,6,4,3,4,4,1,8,1,5,4,4,4,6,3,7,10,1,9,6,6,8,5,4,2
"I was given tickets",3,4,0,3,2,3,2,2,1,3,3,4,5,9,3,8,8,8,5,6,10,7,5,2,3
"See my friends",0,5,1,3,3,10,1,6,2,1,2,0,0,0,4,4,6,1,3,6,9,9,6,6,9
"Support the opposing team",2,2,0,2,2,2,2,9,8,10,3,2,2,4,4,3,1,9,3,3,8,9,5,9,7
"See my friends",3,2,1,2,6,4,8,3,9,1,4,4,0,3,3,5,9,1,6,9,6,4,8,7,7
"Company outing",10,1,2,4,0,1,2,8,2,9,3,4,5,9,2,3,5,7,7,4,8,8,2,5,6
"Visit the park",1,3,4,2,6,2,10,5,2,0,2,2,1,2,2,4,0,10,6,4,8,8,8,3,4
"Support the opposing team",0,4,3,1,4,2,1,1,1,2,3,5,3,4,3,5,1,6,7,0,8,0,1,10,4
"Celebrate a birthday",2,3,0,4,4,1,2,2,0,2,2,4,0,4,6,5,1,3,7,2,1,2,9,7,8
"Company outing",2,0,4,7,3,8,2,1,1,1,2,4,2,2,2,1,7,0,8,2,6,9,5,2,1
"Family outing, no children",1,3,2,3,2,1,9,2,1,2,1,5,2,1,7,7,7,0,4,5,5,7,6,9,8
"Celebrate an anniversary",9,1,0,6,3,2,1,1,1,5,7,2,0,4,4,8,3,7,5,9,2,3,3,5,6
"Company outing",7,4,9,1,4,2,3,2,0,0,2,4,7,0,1,5,5,10,6,7,7,7,9,5,7
"I was given tickets",2,2,3,9,3,3,7,2,0,2,5,1,3,2,2,6,5,6,10,5,8,4,10,3,0
"Other Promotion",4,0,3,2,10,3,2,2,2,4,4,4,0,2,2,6,6,1,5,1,9,8,7,7,4
"No distinct reason",0,7,2,1,2,2,2,0,3,2,2,0,2,5,0,9,3,8,5,5,9,7,6,5,4
"Support the opposing team",2,3,1,2,2,2,2,3,2,3,4,4,2,2,7,6,0,2,3,3,0,8,9,4,2
"Celebrate a birthday",0,1,5,5,3,2,0,5,2,2,3,4,4,4,2,4,8,5,9,2,2,2,6,2,0
"Support the Team",2,3,2,0,2,2,1,1,9,1,0,1,4,1,0,6,8,3,10,6,8,9,1,7,2
"Special Game",0,0,6,2,9,2,7,2,1,0,2,4,2,2,2,9,1,8,5,4,5,8,4,9,1
"Company outing",3,2,0,2,2,9,5,4,6,0,4,3,0,3,7,9,3,3,2,9,10,6,10,4,5
"I was given tickets",3,0,0,1,4,1,2,2,5,4,5,5,2,10,4,8,8,6,3,8,8,8,5,8,5
"Celebrate an anniversary",7,4,0,1,4,1,8,2,1,0,0,0,4,4,2,5,9,2,4,2,2,8,9,6,8
"Celebrate a birthday",3,3,2,0,1,3,9,10,2,2,2,4,2,2,0,9,2,1,10,8,0,6,4,2,3
"Support the Team",2,6,3,0,1,1,10,3,1,2,0,2,0,0,2,7,1,6,10,3,8,8,6,3,3
"Support the Team",2,3,2,2,4,3,2,0,2,1,1,5,4,8,2,5,9,8,1,2,9,5,0,1,6
"See a concert",2,2,1,1,3,1,9,0,1,2,6,4,2,0,3,5,4,5,1,4,7,7,5,9,1
"Family outing, no children",6,3,0,2,8,8,3,1,1,2,3,0,2,4,0,2,9,8,9,4,6,7,2,8,0
"No distinct reason",2,4,0,6,2,8,1,2,1,1,8,4,4,7,4,7,10,0,8,7,6,10,0,2,1
"See my friends",2,3,4,1,0,9,1,1,2,0,4,3,1,4,4,7,4,6,9,8,7,5,6,1,8
"Family outing, no children",1,0,2,3,0,1,5,2,9,0,3,4,0,1,0,7,4,2,5,6,5,9,8,6,1
"No distinct reason",1,4,1,3,2,2,5,8,9,2,2,4,2,2,1,8,1,4,10,5,7,7,5,2,8
"Special Game",2,2,1,4,0,1,2,1,0,0,4,2,2,1,6,6,4,0,9,7,2,1,6,4,9
"Support the opposing team",4,3,2,1,2,3,7,2,1,0,2,1,4,4,0,5,8,9,4,7,10,1,4,0,1
"No distinct reason",3,4,3,0,9,1,2,3,8,9,2,1,6,1,2,0,3,5,3,4,6,7,3,7,5
"Special Game",4,2,4,1,2,1,0,2,1,6,4,4,2,4,0,6,6,8,1,10,9,5,6,6,5
"Visit the park",8,4,1,1,1,1,0,1,4,5,2,0,4,2,3,8,3,10,8,7,2,2,1,9,1
"Other Promotion",0,0,1,2,2,1,6,4,0,1,2,0,3,4,4,1,0,8,3,3,1,2,9,6,7
"Company outing",0,1,2,1,7,7,3,2,8,8,3,5,9,2,4,6,1,0,9,0,7,6,8,6,8
"No distinct reason",2,2,4,2,1,0,1,2,3,1,2,3,0,6,1,2,7,10,3,8,8,7,9,6,2
"I was given tickets",1,1,9,0,0,7,2,1,4,9,1,1,4,2,3,10,9,6,1,0,2,9,5,8,1
"Celebrate a birthday",2,0,1,3,0,2,2,2,4,2,2,1,7,1,2,2,9,1,2,8,0,8,4,5,8
"No distinct reason",2,7,3,0,2,2,1,3,10,1,2,2,1,1,2,7,7,1,1,5,4,4,10,4,2
"Celebrate an anniversary",2,1,3,1,4,1,7,6,3,2,3,4,4,2,4,5,3,1,9,6,1,4,10,2,7
"I was given tickets",0,2,2,1,2,1,7,2,5,1,2,2,1,3,3,3,3,9,9,4,5,3,1,6,9
"Visit the park",4,4,1,3,2,2,3,4,4,2,9,2,2,0,5,10,2,7,5,8,0,2,2,5,4
"Company outing",4,1,8,9,2,4,2,2,10,2,3,2,2,2,5,8,8,1,6,3,5,7,3,1,9
"I was given tickets",8,2,1,4,1,7,5,5,8,2,2,5,3,5,3,7,8,2,1,1,10,10,10,2,9
"Family outing, with children",2,3,2,4,2,2,10,3,10,2,9,7,2,4,2,6,4,2,6,6,1,0,2,3,1
"Support the opposing team",3,5,1,0,0,2,7,4,3,4,4,2,4,0,0,3,1,1,5,9,8,8,6,1,3
"Family outing, with children",0,4,1,0,8,2,0,3,2,1,2,2,1,3,2,5,3,2,9,5,6,6,4,4,10
"Support the Team",2,2,2,3,0,0,0,7,1,5,5,2,0,4,2,4,6,0,8,3,6,1,1,4,4
"I was given tickets",4,2,1,3,3,2,2,3,2,2,4,4,2,4,4,0,3,3,4,6,1,0,5,5,7
"Support the opposing team",2,2,3,3,2,10,3,8,3,1,4,2,0,2,2,7,8,1,2,5,4,5,6,3,4
"Celebrate an anniversary",2,2,0,9,4,1,2,2,8,0,1,1,2,4,9,8,9,2,3,8,9,6,7,5,1
"Company outing",1,4,2,2,8,3,1,2,9,1,2,4,4,0,2,5,7,1,3,3,9,5,8,3,5
"Celebrate a birthday",2,1,2,2,1,2,10,2,0,2,2,2,4,4,0,2,8,10,9,8,9,4,8,2,0
"I was given tickets",4,2,2,2,2,0,4,1,3,1,4,4,2,4,1,10,5,3,7,2,3,5,3,0,5
"Support the Team",5,3,3,10,2,1,3,3,1,1,0,2,3,5,1,2,5,9,9,9,7,8,9,3,7
"Celebrate a birthday",4,3,2,2,2,2,7,4,1,9,3,2,4,2,2,7,0,6,9,5,2,5,4,1,6
"Celebrate a birthday",1,0,4,3,9,2,1,1,1,2,2,0,0,8,4,3,9,1,1,0,8,2,7,4,7
"Company outing",5,1,0,2,4,1,4,1,2,1,4,4,3,4,0,9,5,1,2,10,9,5,5,9,5
"Visit the park",7,4,4,2,4,1,3,8,7,4,2,4,4,2,0,8,5,1,4,4,2,6,1,3,10
"Visit the park",2,6,2,1,2,2,0,2,2,1,3,4,2,2,2,3,3,8,9,10,8,8,8,7,7
"See a concert",2,3,2,3,0,7,4,1,2,2,1,7,2,0,2,1,8,4,6,10,8,3,4,8,5
"Special Game",1,6,10,3,5,2,1,2,0,3,1,0,0,0,3,0,0,5,6,4,4,4,3,1,1
"Other Promotion",2,2,4,4,2,10,1,1,10,1,4,3,0,1,5,5,4,3,2,0,4,7,4,4,10
"Special Game",4,9,2,3,1,3,2,0,2,3,4,2,8,3,0,2,5,9,1,8,5,1,8,2,10
"Company outing",0,9,2,4,7,0,2,2,2,1,2,2,1,4,2,2,10,4,9,3,5,2,6,5,4
"Family outing, with children",4,1,3,1,4,8,2,7,10,1,1,4,4,2,8,4,9,4,2,8,8,8,8,6,7
"Family outing, no children",2,0,10,0,7,4,2,3,1,2,0,0,4,3,1,6,7,5,1,7,6,2,3,1,6
"Visit the park",4,0,4,2,2,2,1,1,6,2,0,4,4,5,0,8,6,7,6,9,1,6,8,3,0
"Support the Team",0,2,1,0,4,2,5,3,6,3,3,9,2,4,4,8,4,2,9,3,6,2,9,8,4
"Company outing",1,1,0,1,2,9,1,2,9,3,1,6,9,2,3,4,8,5,2,8,9,7,6,2,0
"Family outing, no children",2,1,2,5,3,5,4,1,3,1,3,4,0,3,0,0,6,4,4,8,8,5,9,9,8
"Support the opposing team",3,9,4,3,4,2,1,2,3,1,2,3,4,7,0,8,9,7,8,2,10,8,10,3,8
"I was given tickets",3,10,1,2,2,2,2,8,0,1,0,1,8,5,9,8,3,2,6,10,2,3,7,7,7
"Family outing, with children",1,2,2,4,2,2,1,2,9,3,2,3,3,4,2,9,8,6,9,6,4,5,6,1,1
"Celebrate a birthday",2,2,0,5,1,2,9,1,8,2,2,2,1,3,0,3,2,4,0,3,4,1,4,10,7
"I was given tickets",3,4,8,3,0,4,8,2,3,2,4,3,0,2,0,9,7,7,9,6,9,6,9,3,1
"I was given tickets",3,4,4,10,9,0,0,5,1,9,0,0,3,4,0,7,7,6,9,6,7,10,2,10,6
"I was given tickets",2,0,2,4,0,4,2,9,1,7,3,4,2,0,2,0,7,2,3,0,7,7,8,6,2
"See a concert",1,4,3,4,8,3,7,1,8,3,9,2,4,3,4,9,7,2,6,9,3,4,2,7,2
"See my friends",6,0,3,1,1,5,1,3,3,2,1,2,0,2,4,2,1,3,1,8,9,1,9,3,9
"Celebrate an anniversary",8,2,1,3,2,10,1,3,3,5,9,5,2,1,0,4,7,4,5,1,9,10,10,0,5
"Family outing, with children",4,1,1,2,0,2,6,2,1,2,3,2,5,4,3,8,8,9,3,5,9,5,5,1,10
"Special Game",8,0,3,3,1,0,1,2,1,3,4,2,2,0,4,4,4,4,7,3,6,1,5,2,7
"See a concert",3,1,4,3,0,1,1,1,0,0,4,2,2,3,1,6,7,7,1,4,6,9,4,8,0
"Support the opposing team",0,2,0,2,2,2,9,6,3,1,4,0,2,2,4,6,10,4,7,1,2,0,4,1,10
"See a concert",6,4,4,2,1,1,2,2,3,2,2,1,2,2,3,4,7,9,5,10,4,3,0,7,4
"No distinct reason",1,3,2,1,1,2,0,2,1,2,1,4,1,4,2,1,9,5,6,6,4,8,1,5,9
"Celebrate an anniversary",2,0,2,4,1,2,5,1,0,0,2,0,4,4,4,8,2,5,6,7,6,7,7,7,6
"Company outing",3,0,4,1,2,8,2,1,7,7,0,4,2,0,2,10,8,5,3,2,1,10,1,7,1
"Visit the park",4,2,2,0,8,2,4,1,3,0,2,8,1,2,2,3,6,2,3,10,9,5,4,5,6
"Company outing",4,0,3,9,3,1,2,2,1,0,4,2,0,6,2,6,9,10,4,1,6,8,0,8,2
"Other Promotion",3,2,4,1,4,1,1,2,7,3,3,4,2,7,5,10,9,8,2,6,1,7,7,7,4
"See my friends",1,4,3,0,4,1,8,2,3,9,3,4,3,2,2,0,9,7,1,1,9,2,2,6,7
"Other Promotion",4,2,1,2,0,8,5,2,2,5,3,4,3,2,1,2,6,6,5,3,5,5,2,5,7
"Other Promotion",0,3,3,2,1,1,3,7,1,0,2,4,1,3,2,7,4,4,8,5,1,4,2,9,4
"Celebrate a birthday",4,0,0,2,1,3,2,2,0,6,4,4,3,0,2,0,7,7,8,8,0,7,5,9,2
"Family outing, no children",2,2,1,10,3,1,3,2,2,2,0,1,4,4,4,2,1,10,6,9,7,9,0,1,1
"I was given tickets",3,4,2,3,1,2,3,0,1,0,4,4,9,2,2,3,2,5,7,5,9,8,7,9,7
"See my friends",2,4,2,2,4,1,1,2,8,2,4,1,3,4,1,7,1,2,7,9,4,1,3,7,1
"Celebrate a birthday",3,3,7,2,3,9,3,3,7,3,2,4,5,5,8,3,1,7,0,4,4,6,5,1,1
"Support the Team",4,2,4,7,2,1,9,6,1,3,0,1,4,6,2,5,1,9,7,4,3,3,0,3,1
"Visit the park",4,2,1,3,0,1,2,9,5,2,4,0,2,4,1,9,4,6,5,3,6,6,0,0,7
"Other Promotion",0,0,2,2,2,1,1,1,1,9,2,6,4,4,2,7,2,9,0,10,5,2,2,5,4
"Celebrate a birthday",4,1,0,0,0,8,1,3,1,2,2,1,4,4,2,1,9,3,0,4,0,9,8,3,5
"Support the Team",2,4,7,2,5,10,2,8,5,6,1,4,9,1,3,6,1,10,7,2,0,4,5,3,0
"I was given tickets",0,3,3,4,4,2,2,5,2,2,0,1,4,6,4,3,10,2,2,7,6,3,6,1,9
"Family outing, with children",3,8,2,1,5,9,1,5,4,1,2,5,3,4,4,10,5,2,9,7,4,6,0,6,0
"Family outing, no children",2,2,3,1,7,2,2,8,3,0,3,1,5,5,8,7,6,8,8,0,3,10,8,2,6
"Family outing, no children",3,3,3,4,0,3,1,2,1,2,1,4,2,2,3,2,8,0,2,10,8,9,4,1,6
"No distinct reason",0,3,2,3,0,0,0,10,1,1,0,1,2,1,3,9,1,3,1,4,1,2,10,3,7
"Celebrate an anniversary",3,2,2,9,0,1,1,9,0,5,4,2,3,7,5,5,5,0,1,9,4,7,9,8,9
"Company outing",3,3,0,3,4,2,3,7,3,8,2,6,0,4,1,6,1,2,2,9,5,1,8,10,6
"Family outing, with children",3,1,0,4,1,1,8,5,9,6,3,10,1,2,1,8,0,2,2,9,6,4,4,10,6
"Visit the park",0,4,1,3,4,7,0,0,2,1,2,2,4,7,4,10,1,2,10,8,9,9,7,10,2
"Family outing, no children",2,2,1,1,3,2,2,4,1,2,2,4,0,3,4,3,0,8,6,1,1,4,2,1,7
"Celebrate a birthday",2,2,0,0,2,2,4,9,1,0,8,5,1,7,2,10,3,1,8,6,3,1,2,2,7
"Family outing, no children",4,8,2,0,2,1,1,2,0,7,2,8,4,4,8,3,10,7,2,4,0,8,2,6,8
"Celebrate a birthday",3,2,9,2,1,1,1,2,1,2,4,3,2,2,1,5,6,2,4,0,5,4,6,6,6
"Celebrate an anniversary",4,2,0,9,3,4,2,3,0,8,4,6,2,4,4,3,0,8,7,6,3,9,0,7,0
"Support the opposing team",4,2,4,2,3,5,2,6,3,1,1,4,3,0,3,1,7,10,1,2,7,10,0,5,8
"Visit the park",2,3,1,0,10,3,1,0,1,5,2,3,2,4,4,8,3,9,3,9,8,9,9,8,7
"Celebrate an anniversary",2,1,7,2,3,3,1,1,8,4,4,2,4,2,4,10,1,5,0,2,2,9,9,7,4
"No distinct reason",2,6,1,4,2,1,1,2,2,2,1,2,3,0,0,8,10,7,5,7,7,9,7,5,10
"Support the Team",2,0,1,6,3,5,0,1,2,10,5,2,1,4,1,5,7,1,3,4,9,7,8,5,8
"Celebrate an anniversary",1,2,4,2,0,1,1,9,6,10,1,4,5,4,0,5,8,6,1,9,6,2,3,9,2
"Special Game",1,1,0,3,6,3,3,1,1,2,2,4,4,4,1,0,5,1,9,10,4,6,3,4,6
"See a concert",3,4,3,5,0,1,2,1,2,3,4,5,7,2,0,9,4,1,4,8,7,9,3,10,9
"Support the Team",9,2,2,1,4,1,7,3,2,1,2,4,3,5,3,4,3,9,6,9,10,9,4,2,9
"Family outing, no children",10,3,2,1,1,0,2,2,1,0,4,2,2,7,0,2,4,1,7,5,7,1,7,5,9
"No distinct reason",4,4,1,4,3,2,2,8,0,1,2,4,4,5,4,3,5,10,3,7,9,3,9,5,9
"Special Game",4,1,1,9,2,2,5,0,2,0,4,2,5,4,2,6,7,8,5,3,1,7,9,10,8
"Support the Team",4,0,2,1,2,7,3,10,9,1,10,1,5,6,4,5,5,9,0,6,4,2,4,9,6
"Family outing, with children",2,2,2,2,1,0,3,1,6,7,4,2,4,4,3,2,5,7,4,10,1,7,4,4,8
"Celebrate a birthday",2,2,0,3,3,1,8,3,2,2,3,4,1,5,5,3,3,3,9,1,1,7,4,7,8
"Support the opposing team",2,5,3,0,0,0,2,9,4,7,4,2,8,9,1,9,3,0,1,2,7,2,2,3,2
"Support the opposing team",2,4,7,4,3,0,2,0,2,3,0,4,4,4,7,10,9,5,5,9,8,3,9,6,5
"Celebrate a birthday",3,0,1,2,9,1,2,7,0,3,6,2,0,4,2,4,0,8,8,3,2,1,1,8,0
"Support the opposing team",2,4,2,0,0,7,0,2,6,0,3,2,2,3,3,5,9,2,4,2,9,6,8,9,9
"Visit the park",1,2,6,2,2,2,2,7,2,3,0,2,2,3,8,6,4,9,0,1,0,8,6,5,1
"Celebrate a birthday",3,4,3,1,4,7,3,1,1,2,2,3,4,6,2,5,6,5,4,8,2,7,4,2,9
"See a concert",8,10,3,1,2,2,1,3,8,1,4,8,0,4,2,4,1,6,4,5,1,5,1,5,6
"See my friends",0,3,4,0,2,0,6,0,1,3,4,0,0,4,1,9,8,9,3,2,7,0,5,3,9
"Support the Team",2,2,4,4,3,1,1,8,1,0,0,2,5,4,2,1,8,5,2,9,5,3,7,7,6
"Celebrate an anniversary",9,2,5,2,4,0,2,1,8,1,2,3,0,0,3,3,7,9,7,4,4,9,9,6,2
"Family outing, no children",2,0,4,1,1,2,1,7,3,1,4,3,0,2,6,1,5,5,3,1,9,5,5,8,6
"Visit the park",2,2,0,4,3,4,0,0,2,3,4,3,2,4,0,0,1,1,1,6,3,3,9,3,8
"See a concert",1,1,4,4,0,2,7,1,8,3,3,3,4,8,2,0,2,8,5,1,2,8,9,6,7
"Family outing, no children",4,6,0,4,2,3,0,1,2,3,0,3,2,4,4,5,4,5,0,4,3,2,2,7,7
"Celebrate a birthday",1,3,1,1,2,3,1,2,2,3,3,1,2,0,3,9,8,6,5,6,5,2,1,0,8
"Other Promotion",3,2,0,7,2,1,1,1,2,3,0,2,3,4,2,7,6,9,5,3,9,5,5,8,7
"No distinct reason",1,8,6,6,0,0,1,1,1,1,0,7,5,4,4,10,5,1,3,7,7,1,6,8,2
"Family outing, with children",1,4,1,3,1,3,3,1,8,10,0,2,5,2,4,10,8,5,1,3,4,6,1,8,6
"See my friends",2,4,0,2,3,3,1,1,1,1,5,2,4,4,2,0,9,6,1,5,7,5,5,4,10
"See my friends",10,4,2,2,1,9,0,6,7,5,5,4,6,2,2,5,8,4,5,2,1,7,4,7,6
"I was given tickets",7,2,2,2,1,2,1,2,3,2,2,2,4,4,0,4,4,8,8,1,10,5,7,6,3
"Celebrate an anniversary",4,9,2,5,2,1,2,3,0,7,4,9,2,4,9,2,2,5,1,1,8,7,4,3,3
